site,plot,campaign,spp,estimate,SE.estimate
1,1,5,SMAM,3.51683078276879,2.14006564883836
1,2,5,SMAM,27.6772659063298,5.6652222149681
1,3,5,SMAM,22.5495228115882,5.21308920298852
1,4,5,SMAM,19.3743728142209,4.94295705571111
1,5,5,SMAM,10.9413430166771,3.6496843639234
7,1,5,SMAM,28.8462132882779,5.64560259031441
7,2,5,SMAM,30.0441179770084,5.7554310091593
7,3,5,SMAM,59.1428391219996,8.1070901955024
7,4,5,SMAM,14.2451025452008,4.08078468423599
7,5,5,SMAM,30.7508315173836,5.8895466961861
8,1,5,SMAM,20.1819319886542,4.55984231360453
8,3,5,SMAM,38.2853042197519,6.34052291469923
8,4,5,SMAM,55.2202248123095,7.62078542250083
8,5,5,SMAM,34.4779081695549,5.94650813083563
